Year,Month,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS,TCS.NS,RELIANCE.NS_Return,TCS.NS_Return,HDFCBANK.NS_Return,INFY.NS_Return,ICICIBANK.NS_Return,BAJFINANCE.NS_Return,HINDUNILVR.NS_Return,ITC.NS_Return,TATAMOTORS.NS_Return,SBIN.NS_Return
2018,April,1869.436767578125,919.5458374023438,1363.8912353515625,270.63671875,497.78521728515625,221.64671325683594,424.0364074707031,231.92259216308594,338.29840087890625,1539.1884765625,0.09131084144385038,0.23970352588524668,0.030857494984043887,0.05981671256963339,0.021016779459613888,0.07929055217136516,0.13166092986435052,0.10156561160092026,0.04145621357488438,-0.014005675834189102
2018,May,2067.5810546875,1018.3035278320312,1456.5858154296875,272.16033935546875,511.189453125,218.01405334472656,405.5703430175781,253.71240234375,280.7558898925781,1530.0260009765625,-0.043548299456812156,-0.0059527963764387515,0.10739833340844807,0.02692774990978708,0.0056297630731925175,0.10599143578740722,0.06796332264297567,-0.016389414752566056,-0.17009394911956865,0.09395294342580329
2018,June,2250.291748046875,1003.5485229492188,1494.624755859375,262.2566833496094,551.3460693359375,213.64012145996094,430.92559814453125,244.11172485351562,267.6373596191406,1623.79345703125,0.06251752763355811,0.06128487750851219,-0.014489790597333907,0.07855525180625755,-0.03638904929834097,0.08836930138489318,0.02611513858417336,-0.020062614394171674,-0.04672575267595225,-0.0378407890254675
2018,July,2648.33154296875,1037.365966796875,1577.044677734375,291.3741760253906,575.7669677734375,238.92063903808594,525.556884765625,276.25518798828125,262.469482421875,1708.473388671875,0.21960005863785947,0.05214944750143502,0.033697866196119586,0.04429323032431065,0.11102669454934455,0.17688363976242227,0.055144223693532,0.11833225615752574,-0.019309251909448433,0.13167521205322674
2018,August,2804.115966796875,981.0594482421875,1621.1688232421875,329.56719970703125,607.8219604492188,256.6971435546875,550.21728515625,291.40924072265625,265.8484802246094,1830.16796875,0.046922419067200405,0.07123001205932011,-0.054278355331578765,0.05567355279123065,0.13107895903002897,0.05882361075286391,0.027979007906866915,0.07440338594510387,0.012873869264935056,0.054855269306355314
2018,September,2128.16748046875,954.8098754882812,1464.798828125,293.9266662597656,615.8357543945312,238.9607696533203,557.4403076171875,249.900390625,222.3188934326172,1922.89111328125,0.01312758187683305,0.05066373475795216,-0.026756352839717223,0.01318444292369736,-0.10814344837395307,-0.2410558244851253,-0.09645509639425587,-0.06909455109534002,-0.1637383322831676,-0.14244177705113192
2018,October,2338.775634765625,909.9263305664062,1485.340087890625,341.49554443359375,585.3201293945312,224.79566955566406,470.27587890625,264.8661804199219,177.9942626953125,1710.2633056640625,-0.1563654933449774,-0.11057714404553898,-0.04700783483091009,-0.04955156432903429,0.16183927364993766,0.09896220867470751,0.014023263380076978,-0.05927793134499315,-0.19937410650498344,0.05988702041438376
2018,November,2491.07470703125,1013.0679321289062,1606.5159912109375,341.6398620605469,569.1605224609375,229.37022399902344,517.381103515625,267.9252014160156,170.88839721679688,1736.8243408203125,0.10016508760545095,0.015530377730893719,0.11335159572566389,-0.027608151714019535,0.0004226047141917544,0.06511914610436209,0.08158125153169338,0.020349833483899182,-0.03992187933989377,0.011549307621093519
2018,December,2596.55029296875,1009.855224609375,1666.645751953125,346.4495849609375,561.912353515625,226.0395965576172,496.86395263671875,278.5141906738281,171.63377380371094,1670.466064453125,-0.039655779346194464,-0.038206671110934676,-0.0031712656354445645,-0.012734841330830249,0.014078342238465824,0.04234139812820037,0.03742867240111547,-0.014520748959204188,0.004361774111371952,0.03952218455691536
2019,January,2527.54248046875,989.9837036132812,1614.9881591796875,350.5860595703125,642.68408203125,223.6319580078125,543.7918701171875,276.3963928222656,180.08128356933594,1781.0927734375,0.09444822316337365,0.06622505619148389,-0.01967759388855006,0.14374435445363276,0.011939614849997282,-0.026576728626003354,-0.030994944614295195,-0.010651401729922072,0.04921822540175569,-0.007603913633408621
